code,next operator,reasons,استان,شهر,speed,churn,CSCalls,SalesCalls,namava,shoteltalk,casper,Android Security,VocNo,195No
41661474,استفاده ای ندارند,افت سرعت/قطعی سرویس,تهران,تهران,8192,0,7,3,0,0,0,0,0,0
41661471,استفاده ای ندارند,افت سرعت/قطعی سرویس,تهران,تهران,8192,0,1,6,0,0,0,0,0,0
41661457,استفاده ای ندارند,افت سرعت/قطعی سرویس,تهران,تهران,512,0,7,6,0,0,0,0,0,0
41661447,استفاده ای ندارند,افت سرعت/قطعی سرویس,آذربایجان شرقی,تبریز,512,0,5,4,0,0,0,0,0,0
41661306,آسیاتک,افت سرعت/قطعی سرویس,آذربایجان شرقی,تبریز,512,0,1,4,0,0,1,0,0,0
41661243,آسیاتک,افت سرعت/قطعی سرویس,البرز,کرج,8192,0,5,4,0,0,0,0,0,0
41661210,آسیاتک,افت سرعت/قطعی سرویس,البرز,کرج,512,0,2,6,0,0,1,0,0,0
41661120,پارس آنلاین,افت سرعت/قطعی سرویس,تهران,تهران,16384,0,4,3,0,0,0,0,0,0
41661084,پارس آنلاین,افت سرعت/قطعی سرویس,تهران,تهران,512,0,5,4,0,0,0,0,0,0
41660965,پیشگامان,افت سرعت/قطعی سرویس,اصفهان,اصفهان,512,0,4,7,0,0,1,0,0,0
41660959,سایر,افت سرعت/قطعی سرویس,اصفهان,اصفهان,512,0,2,4,0,0,0,0,0,0
41660944,سایر,افت سرعت/قطعی سرویس,تهران,تهران,512,0,3,5,0,0,1,0,0,0
41660942,مبین نت,افت سرعت/قطعی سرویس,تهران,تهران,1024,0,1,5,0,0,1,0,0,0
41660901,مخابرات,افت سرعت/قطعی سرویس,البرز,کرج,512,0,1,7,0,0,0,0,0,0
41660888,های وب,افت سرعت/قطعی سرویس,تهران,تهران,8192,0,3,7,0,0,0,0,0,0
41660869,همراه اول,افت سرعت/قطعی سرویس,تهران,تهران,16384,0,3,3,0,0,0,0,0,0
41660798,همراه اول,افت سرعت/قطعی سرویس,تهران,تهران,1024,0,4,14,0,0,0,0,0,0
41660791,استفاده ای ندارند,جابجایی,تهران,تهران,8192,0,3,4,0,0,0,0,0,0
